0 <- name: res_0_node_2; flops: 25 
1 <- name: res_0_node_0; flops: 10 
2 <- name: res_0_node_1; flops: 15 
3 <- name: res_0_node_11; flops: 30 
4 <- name: res_0_node_10; flops: 25 
5 <- name: res_0_node_8; flops: 10 
6 <- name: res_0_node_7; flops: 30 
7 <- name: res_0_node_9; flops: 15 
8 <- name: res_0_node_5; flops: 15 
9 <- name: res_0_node_4; flops: 10 
10 <- name: res_0_node_6; flops: 25 
11 <- name: res_0_node_3; flops: 30 
