#
0	949.41
1	946.67
2	938.78
3	933.38
4	933.38
5	932.36
6	932.36
7	932.19
8	931.43
9	931.43
10	931.43
11	930.33
12	930.33
13	926.02
14	926.02
15	926.02
16	925.79
17	925.79
18	925.79
19	925.79
20	925.79
21	925.79
22	925.79
23	925.73
24	925.73
25	925.24
26	925.24
27	925.24
28	925.24
29	925.18
30	925.18
31	925.18
32	925.18
33	925.18
34	925.18
35	925.18
36	925.12
37	925.12
38	925.12
39	925.12
40	925.12
41	925.12
42	925.12
43	925.12
44	925.12
45	924.95
46	924.89
47	924.36
48	924.3
49	924.3
50	924.3
51	924.07
52	924.07
53	924.07
54	924.07
55	923.85
56	923.85
57	923.67
58	923.67
59	923.67
60	923.63
61	923.63
62	923.63
63	923.63
64	923.63
65	923.63
66	923.63
67	923.63
68	922.88
69	922.88
70	922.88
71	922.88
72	922.88
73	922.88
74	922.88
75	922.88
76	922.87
77	922.87
78	922.87
79	922.87
80	922.87
81	922.8
82	922.8
83	922.8
84	922.8
85	922.8
86	922.8
87	922.8
88	922.8
89	922.8
90	922.8
91	922.8
92	922.8
93	922.8
94	922.8
95	922.8
96	922.68
97	922.68
98	922.68
99	922.68
